2025-06-05 14:17:59 - Temp: , Hum: , Soil: , Relay: 
2025-06-05 15:09:43 - Temp: 25.5, Hum: 63.90000153, Soil: 1000, Relay: 0
2025-06-05 15:09:52 - Temp: 25.5, Hum: 63.90000153, Soil: 1001, Relay: 0
2025-06-05 15:09:55 - Temp: 25.5, Hum: 63.79999924, Soil: 1001, Relay: 0
2025-06-05 15:10:01 - Temp: 25.5, Hum: 63.79999924, Soil: 1005, Relay: 0
2025-06-05 15:10:06 - Temp: 25.5, Hum: 63.70000076, Soil: 1004, Relay: 0
2025-06-05 15:10:17 - Temp: 25.5, Hum: 63.59999847, Soil: 367, Relay: 1
2025-06-05 15:10:17 - Temp: 25.5, Hum: 63.70000076, Soil: 975, Relay: 0
2025-06-05 15:10:20 - Temp: 25.5, Hum: 63.70000076, Soil: 960, Relay: 0
2025-06-05 15:10:36 - Temp: 25.5, Hum: 63.70000076, Soil: 986, Relay: 0
2025-06-05 15:10:36 - Temp: 25.39999962, Hum: 63.59999847, Soil: 987, Relay: 0
2025-06-05 15:10:39 - Temp: 25.39999962, Hum: 63.59999847, Soil: 989, Relay: 0
2025-06-05 15:10:42 - Temp: 25.39999962, Hum: 63.59999847, Soil: 991, Relay: 0
2025-06-05 16:12:41 - Temp: 26.10000038, Hum: 59.79999924, Soil: 973, Relay: 0
2025-06-05 16:12:54 - Temp: 26.20000076, Hum: 60.79999924, Soil: 1005, Relay: 0
2025-06-05 16:21:33 - Temp: 27.10000038, Hum: 55.70000076, Soil: 1024, Relay: 0
2025-06-05 16:24:21 - Temp: 27.10000038, Hum: 58.59999847, Soil: 1024, Relay: 0
2025-06-05 16:24:24 - Temp: 27.10000038, Hum: 59.40000153, Soil: 1024, Relay: 0
2025-06-05 16:24:25 - Temp: 27.10000038, Hum: 59.20000076, Soil: 1024, Relay: 0
2025-06-05 16:24:30 - Temp: 27.10000038, Hum: 59.20000076, Soil: 1024, Relay: 0
2025-06-05 16:24:48 - Temp: 27.10000038, Hum: 57.20000076, Soil: 1024, Relay: 0
2025-06-05 16:28:44 - Temp: 27.20000076, Hum: 56, Soil: 1024, Relay: 0
2025-06-05 16:28:54 - Temp: 27.29999924, Hum: 56.29999924, Soil: 1024, Relay: 0
2025-06-05 16:28:57 - Temp: 27.29999924, Hum: 56.70000076, Soil: 1024, Relay: 0
2025-06-05 16:29:08 - Temp: 27.29999924, Hum: 57.20000076, Soil: 1018, Relay: 0
2025-06-05 16:29:09 - Temp: 27.29999924, Hum: 57.40000153, Soil: 1017, Relay: 0
2025-06-05 16:29:14 - Temp: 27.29999924, Hum: 57.29999924, Soil: 1020, Relay: 0
2025-06-05 16:29:15 - Temp: 27.29999924, Hum: 57.40000153, Soil: 1021, Relay: 0
2025-06-05 16:29:23 - Temp: 27.29999924, Hum: 58, Soil: 1024, Relay: 0
2025-06-05 16:29:36 - Temp: 27.29999924, Hum: 56.70000076, Soil: 1024, Relay: 0
2025-06-05 16:29:44 - Temp: 27.29999924, Hum: 55.79999924, Soil: 1024, Relay: 0
2025-06-05 16:36:34 - Temp: 27.79999924, Hum: 57.5, Soil: 1024, Relay: 0
2025-06-05 16:36:40 - Temp: 27.79999924, Hum: 56.70000076, Soil: 493, Relay: 1
2025-06-05 16:36:48 - Temp: 27.79999924, Hum: 56, Soil: 1024, Relay: 0
2025-06-05 16:36:51 - Temp: 27.70000076, Hum: 55.40000153, Soil: 381, Relay: 1
2025-06-05 16:37:24 - Temp: 27.70000076, Hum: 55.29999924, Soil: 361, Relay: 1
2025-06-05 16:37:27 - Temp: 27.70000076, Hum: 55.59999847, Soil: 411, Relay: 1
2025-06-05 16:37:35 - Temp: 27.60000038, Hum: 55.79999924, Soil: 1024, Relay: 0
2025-06-05 16:37:38 - Temp: 27.60000038, Hum: 56.20000076, Soil: 1024, Relay: 0
2025-06-05 16:37:42 - Temp: 27.60000038, Hum: 57.09999847, Soil: 1024, Relay: 0
2025-06-05 16:42:54 - Temp: 27.5, Hum: 57, Soil: 1024, Relay: 0
2025-06-05 16:43:00 - Temp: 27.5, Hum: 57.29999924, Soil: 1024, Relay: 0
2025-06-05 16:43:21 - Temp: 27.5, Hum: 58.20000076, Soil: 1024, Relay: 0
2025-06-05 16:43:32 - Temp: 27.5, Hum: 57.59999847, Soil: 440, Relay: 1
2025-06-05 16:43:33 - Temp: 27.5, Hum: 57.29999924, Soil: 465, Relay: 1
2025-06-05 16:43:38 - Temp: 27.5, Hum: 57.5, Soil: 487, Relay: 1
2025-06-05 16:43:41 - Temp: 27.5, Hum: 57.40000153, Soil: 1024, Relay: 0
2025-06-05 16:43:45 - Temp: 27.5, Hum: 57.70000076, Soil: 484, Relay: 1
2025-06-05 16:43:45 - Temp: 27.5, Hum: 57.90000153, Soil: 1024, Relay: 0
2025-06-05 16:43:51 - Temp: 27.5, Hum: 58.09999847, Soil: 674, Relay: 0
2025-06-05 16:43:51 - Temp: 27.5, Hum: 58.09999847, Soil: 448, Relay: 1
2025-06-05 16:43:54 - Temp: 27.5, Hum: 57.90000153, Soil: 399, Relay: 1
2025-06-05 16:44:03 - Temp: 27.5, Hum: 57.5, Soil: 387, Relay: 1
2025-06-05 16:44:09 - Temp: 27.39999962, Hum: 57, Soil: 1024, Relay: 0
2025-06-05 16:44:23 - Temp: 27.39999962, Hum: 57.5, Soil: 1024, Relay: 0
2025-06-05 16:44:30 - Temp: 27.39999962, Hum: 57.70000076, Soil: 1024, Relay: 0
2025-06-05 16:44:38 - Temp: 27.39999962, Hum: 57.29999924, Soil: 1024, Relay: 0
2025-06-05 16:44:41 - Temp: 27.39999962, Hum: 56.90000153, Soil: 1024, Relay: 0
2025-06-05 16:44:47 - Temp: 27.39999962, Hum: 56.59999847, Soil: 1024, Relay: 0
2025-06-05 16:44:50 - Temp: 27.39999962, Hum: 56.5, Soil: 1024, Relay: 0
2025-06-05 16:44:50 - Temp: 27.39999962, Hum: 56.40000153, Soil: 1024, Relay: 0
2025-06-05 16:44:59 - Temp: 27.39999962, Hum: 56.20000076, Soil: 1024, Relay: 0
2025-06-05 16:45:09 - Temp: 27.29999924, Hum: 56, Soil: 1024, Relay: 0
2025-06-05 16:45:23 - Temp: 27.29999924, Hum: 56, Soil: 1024, Relay: 0
2025-06-05 16:45:23 - Temp: 27.29999924, Hum: 56, Soil: 338, Relay: 1
2025-06-05 16:45:26 - Temp: 27.29999924, Hum: 56.09999847, Soil: 351, Relay: 1
2025-06-05 16:45:32 - Temp: 27.20000076, Hum: 56.09999847, Soil: 1006, Relay: 0
2025-06-05 16:45:35 - Temp: 27.20000076, Hum: 56.09999847, Soil: 1005, Relay: 0
2025-06-05 16:45:41 - Temp: 27.20000076, Hum: 56.29999924, Soil: 1005, Relay: 0
2025-06-05 16:45:52 - Temp: 27.20000076, Hum: 56.40000153, Soil: 414, Relay: 1
2025-06-05 16:46:00 - Temp: 27.20000076, Hum: 56.40000153, Soil: 998, Relay: 0
2025-06-05 16:46:05 - Temp: 27.20000076, Hum: 56.29999924, Soil: 996, Relay: 0
2025-06-05 16:46:11 - Temp: 27.20000076, Hum: 56.40000153, Soil: 997, Relay: 0
2025-06-05 16:46:36 - Temp: 27.10000038, Hum: 56.40000153, Soil: 960, Relay: 0
2025-06-05 16:46:39 - Temp: 27.10000038, Hum: 56.5, Soil: 962, Relay: 0
2025-06-05 16:46:52 - Temp: 27.10000038, Hum: 56.5, Soil: 962, Relay: 0
2025-06-05 16:47:24 - Temp: 27, Hum: 56.59999847, Soil: 976, Relay: 0
2025-06-05 16:47:24 - Temp: 27, Hum: 56.70000076, Soil: 981, Relay: 0
2025-06-05 16:47:30 - Temp: 26.89999962, Hum: 56.59999847, Soil: 981, Relay: 0
2025-06-05 16:47:30 - Temp: 26.89999962, Hum: 56.59999847, Soil: 985, Relay: 0
2025-06-05 16:47:33 - Temp: 26.89999962, Hum: 56.59999847, Soil: 986, Relay: 0
2025-06-05 16:47:44 - Temp: 26.89999962, Hum: 56.70000076, Soil: 989, Relay: 0
2025-06-05 16:47:47 - Temp: 26.89999962, Hum: 56.70000076, Soil: 989, Relay: 0
2025-06-05 16:47:55 - Temp: 26.79999924, Hum: 56.79999924, Soil: 991, Relay: 0
2025-06-05 16:48:03 - Temp: 26.79999924, Hum: 56.90000153, Soil: 996, Relay: 0
2025-06-05 16:48:04 - Temp: 26.79999924, Hum: 56.90000153, Soil: 996, Relay: 0
2025-06-05 16:48:17 - Temp: 26.79999924, Hum: 57.29999924, Soil: 999, Relay: 0
2025-06-05 16:48:20 - Temp: 26.70000076, Hum: 57.09999847, Soil: 999, Relay: 0
2025-06-05 16:48:23 - Temp: 26.70000076, Hum: 57.09999847, Soil: 1001, Relay: 0
2025-06-05 16:48:29 - Temp: 26.70000076, Hum: 57.09999847, Soil: 999, Relay: 0
2025-06-05 16:48:30 - Temp: 26.70000076, Hum: 57.09999847, Soil: 997, Relay: 0
2025-06-05 16:48:35 - Temp: 26.70000076, Hum: 57.09999847, Soil: 997, Relay: 0
2025-06-05 16:48:36 - Temp: 26.70000076, Hum: 57.09999847, Soil: 999, Relay: 0
2025-06-05 16:48:39 - Temp: 26.70000076, Hum: 57.20000076, Soil: 999, Relay: 0
2025-06-05 16:48:45 - Temp: 26.70000076, Hum: 57.20000076, Soil: 1001, Relay: 0
2025-06-05 16:48:45 - Temp: 26.60000038, Hum: 57.20000076, Soil: 999, Relay: 0
2025-06-05 16:48:56 - Temp: 26.70000076, Hum: 57.29999924, Soil: 1000, Relay: 0
2025-06-05 16:48:59 - Temp: 26.60000038, Hum: 57.5, Soil: 1001, Relay: 0
2025-06-05 16:48:59 - Temp: 26.60000038, Hum: 57.5, Soil: 1000, Relay: 0
2025-06-05 16:49:03 - Temp: 26.60000038, Hum: 57.59999847, Soil: 1000, Relay: 0
2025-06-05 16:49:11 - Temp: 26.60000038, Hum: 57.59999847, Soil: 1001, Relay: 0
2025-06-05 16:49:17 - Temp: 26.60000038, Hum: 58, Soil: 1001, Relay: 0
2025-06-05 16:49:20 - Temp: 26.60000038, Hum: 57.79999924, Soil: 1002, Relay: 0
2025-06-05 16:49:20 - Temp: 26.5, Hum: 57.79999924, Soil: 1001, Relay: 0
2025-06-05 16:49:23 - Temp: 26.5, Hum: 57.79999924, Soil: 1004, Relay: 0
2025-06-05 16:49:29 - Temp: 26.5, Hum: 57.90000153, Soil: 1006, Relay: 0
2025-06-05 16:49:29 - Temp: 26.5, Hum: 58, Soil: 1004, Relay: 0
2025-06-05 16:49:45 - Temp: 26.5, Hum: 58.09999847, Soil: 1005, Relay: 0
2025-06-05 16:49:58 - Temp: 26.5, Hum: 58.29999924, Soil: 1005, Relay: 0
2025-06-05 16:50:12 - Temp: 26.39999962, Hum: 58.40000153, Soil: 1005, Relay: 0
2025-06-05 16:50:12 - Temp: 26.39999962, Hum: 58.40000153, Soil: 1004, Relay: 0
2025-06-05 16:50:18 - Temp: 26.39999962, Hum: 58.5, Soil: 1004, Relay: 0
2025-06-05 16:50:26 - Temp: 26.39999962, Hum: 58.5, Soil: 1004, Relay: 0
2025-06-05 16:50:27 - Temp: 26.29999924, Hum: 58.59999847, Soil: 1004, Relay: 0
2025-06-05 16:50:30 - Temp: 26.29999924, Hum: 58.59999847, Soil: 1004, Relay: 0
2025-06-05 16:50:33 - Temp: 26.29999924, Hum: 58.70000076, Soil: 1005, Relay: 0
2025-06-05 16:50:41 - Temp: 26.29999924, Hum: 58.79999924, Soil: 1005, Relay: 0
2025-06-05 16:50:44 - Temp: 26.29999924, Hum: 58.79999924, Soil: 1005, Relay: 0
2025-06-05 16:50:50 - Temp: 26.29999924, Hum: 58.79999924, Soil: 1008, Relay: 0
2025-06-05 16:50:50 - Temp: 26.29999924, Hum: 58.79999924, Soil: 1005, Relay: 0
2025-06-05 16:50:53 - Temp: 26.29999924, Hum: 58.79999924, Soil: 1005, Relay: 0
2025-06-05 16:51:01 - Temp: 26.20000076, Hum: 58.90000153, Soil: 1005, Relay: 0
2025-06-05 16:51:07 - Temp: 26.20000076, Hum: 58.90000153, Soil: 1005, Relay: 0
2025-06-05 16:51:08 - Temp: 26.20000076, Hum: 59, Soil: 1006, Relay: 0
2025-06-05 16:51:11 - Temp: 26.20000076, Hum: 59, Soil: 1005, Relay: 0
2025-06-05 16:51:14 - Temp: 26.20000076, Hum: 59, Soil: 1008, Relay: 0
2025-06-05 16:51:20 - Temp: 26.20000076, Hum: 59.09999847, Soil: 1005, Relay: 0
2025-06-05 16:51:28 - Temp: 26.20000076, Hum: 59.09999847, Soil: 998, Relay: 0
2025-06-05 16:53:07 - Temp: 26, Hum: 60.09999847, Soil: 3, Relay: 1
2025-06-05 16:53:18 - Temp: 26, Hum: 60.20000076, Soil: 758, Relay: 0
2025-06-05 16:53:19 - Temp: 26, Hum: 60.20000076, Soil: 759, Relay: 0
2025-06-05 16:53:22 - Temp: 26, Hum: 60.20000076, Soil: 763, Relay: 0
2025-06-05 16:53:30 - Temp: 26.10000038, Hum: 60.40000153, Soil: 3, Relay: 1
2025-06-06 08:54:49 - Temp: 23.60000038, Hum: 68, Soil: 526, Relay: 0
2025-06-06 08:54:57 - Temp: 23.60000038, Hum: 67.5, Soil: 1024, Relay: 0
2025-06-06 08:55:03 - Temp: 23.60000038, Hum: 67.30000305, Soil: 1024, Relay: 0
2025-06-06 08:55:09 - Temp: 23.60000038, Hum: 67.09999847, Soil: 405, Relay: 1
2025-06-06 08:55:12 - Temp: 23.60000038, Hum: 67, Soil: 391, Relay: 1
2025-06-06 08:55:15 - Temp: 23.60000038, Hum: 66.90000153, Soil: 1024, Relay: 0
2025-06-06 08:55:18 - Temp: 23.60000038, Hum: 67, Soil: 1024, Relay: 0
2025-06-06 08:55:26 - Temp: 23.70000076, Hum: 66.90000153, Soil: 408, Relay: 1
2025-06-06 08:55:39 - Temp: 23.70000076, Hum: 67.09999847, Soil: 1024, Relay: 0
2025-06-06 08:55:47 - Temp: 23.60000038, Hum: 66.80000305, Soil: 1024, Relay: 0
2025-06-06 08:55:58 - Temp: 23.70000076, Hum: 66.80000305, Soil: 1024, Relay: 0
2025-06-06 08:55:59 - Temp: , Hum: , Soil: , Relay: 
2025-06-06 08:56:09 - Temp: 23.70000076, Hum: 66.69999695, Soil: 1024, Relay: 0
2025-06-06 08:56:14 - Temp: 23.70000076, Hum: 66.69999695, Soil: 1024, Relay: 0
2025-06-06 08:56:15 - Temp: 23.70000076, Hum: 66.69999695, Soil: 1024, Relay: 0
2025-06-06 08:56:26 - Temp: 23.70000076, Hum: 66.69999695, Soil: 1024, Relay: 0
2025-06-06 08:56:36 - Temp: 23.70000076, Hum: 66.69999695, Soil: 1024, Relay: 0
2025-06-06 08:56:47 - Temp: 23.70000076, Hum: 66.69999695, Soil: 382, Relay: 1
2025-06-06 08:56:50 - Temp: 23.70000076, Hum: 66.59999847, Soil: 386, Relay: 1
2025-06-06 08:56:53 - Temp: 23.70000076, Hum: 66.59999847, Soil: 1024, Relay: 0
2025-06-06 08:56:57 - Temp: 23.70000076, Hum: 66.59999847, Soil: 1024, Relay: 0
2025-06-06 08:56:57 - Temp: 23.70000076, Hum: 66.5, Soil: 1024, Relay: 0
2025-06-06 08:57:00 - Temp: 23.70000076, Hum: 66.59999847, Soil: 1024, Relay: 0
2025-06-06 08:57:03 - Temp: 23.70000076, Hum: 66.5, Soil: 1024, Relay: 0
2025-06-06 08:57:06 - Temp: 23.70000076, Hum: 66.5, Soil: 1024, Relay: 0
2025-06-06 08:57:17 - Temp: 23.70000076, Hum: 66.5, Soil: 1024, Relay: 0
2025-06-06 08:57:25 - Temp: 23.70000076, Hum: 66.5, Soil: 440, Relay: 1
2025-06-06 08:57:33 - Temp: 23.70000076, Hum: 66.5, Soil: 401, Relay: 1
2025-06-06 08:57:42 - Temp: 23.70000076, Hum: 66.5, Soil: 440, Relay: 1
2025-06-06 08:57:42 - Temp: 23.70000076, Hum: 66.5, Soil: 426, Relay: 1
2025-06-06 08:57:53 - Temp: 23.70000076, Hum: 66.5, Soil: 427, Relay: 1
2025-06-06 08:58:06 - Temp: 23.70000076, Hum: 66.80000305, Soil: 438, Relay: 1
2025-06-06 08:58:06 - Temp: 23.70000076, Hum: 66.40000153, Soil: 439, Relay: 1
2025-06-06 08:58:12 - Temp: 23.70000076, Hum: 66.40000153, Soil: 424, Relay: 1
2025-06-06 08:58:20 - Temp: 23.70000076, Hum: 66.69999695, Soil: 446, Relay: 1
2025-06-06 08:58:36 - Temp: 23.70000076, Hum: 66.30000305, Soil: 1024, Relay: 0
2025-06-06 08:58:49 - Temp: 23.70000076, Hum: 66.19999695, Soil: 1024, Relay: 0
2025-06-06 08:58:55 - Temp: 23.79999924, Hum: 66.30000305, Soil: 1024, Relay: 0
2025-06-06 08:58:58 - Temp: 23.79999924, Hum: 66.30000305, Soil: 1024, Relay: 0
2025-06-06 08:58:58 - Temp: 23.79999924, Hum: 66.30000305, Soil: 1024, Relay: 0
2025-06-06 08:59:01 - Temp: 23.79999924, Hum: 66.30000305, Soil: 1024, Relay: 0
2025-06-06 08:59:09 - Temp: 23.79999924, Hum: 66.19999695, Soil: 384, Relay: 1
2025-06-06 08:59:12 - Temp: 23.79999924, Hum: 66.19999695, Soil: 390, Relay: 1
2025-06-06 08:59:19 - Temp: 23.79999924, Hum: 66.09999847, Soil: 405, Relay: 1
2025-06-06 09:28:45 - Temp: 23.5, Hum: 66.09999847, Soil: 427, Relay: 1
2025-06-06 09:28:53 - Temp: 23.5, Hum: 66.09999847, Soil: 1024, Relay: 0
2025-06-06 09:29:19 - Temp: 23.5, Hum: 66.09999847, Soil: 706, Relay: 0
2025-06-06 09:29:25 - Temp: 23.5, Hum: 65.90000153, Soil: 468, Relay: 1
2025-06-06 09:29:28 - Temp: 23.5, Hum: 65.90000153, Soil: 1024, Relay: 0
2025-06-06 09:29:34 - Temp: 23.5, Hum: 65.80000305, Soil: 1024, Relay: 0
2025-06-06 09:29:47 - Temp: 23.5, Hum: 65.90000153, Soil: 454, Relay: 1
2025-06-06 09:29:48 - Temp: 23.5, Hum: 65.90000153, Soil: 454, Relay: 1
2025-06-06 09:29:53 - Temp: 23.5, Hum: 65.90000153, Soil: 459, Relay: 1
2025-06-06 09:30:04 - Temp: 23.5, Hum: 66, Soil: 1024, Relay: 0
2025-06-06 09:30:14 - Temp: 23.5, Hum: 66, Soil: 450, Relay: 1
2025-06-06 09:30:20 - Temp: 23.5, Hum: 66.09999847, Soil: 488, Relay: 1
2025-06-06 09:30:23 - Temp: 23.5, Hum: 66.09999847, Soil: 487, Relay: 1
2025-06-06 09:31:47 - Temp: 23.60000038, Hum: 66.59999847, Soil: 487, Relay: 1
2025-06-06 09:31:50 - Temp: 23.60000038, Hum: 66.5, Soil: 488, Relay: 1
2025-06-06 09:31:56 - Temp: 23.60000038, Hum: 66.5, Soil: 490, Relay: 1
2025-06-06 09:32:04 - Temp: 23.60000038, Hum: 66.40000153, Soil: 497, Relay: 1
2025-06-06 09:32:04 - Temp: 23.60000038, Hum: 66.30000305, Soil: 500, Relay: 0
2025-06-06 09:32:22 - Temp: 23.60000038, Hum: 66, Soil: 513, Relay: 0
2025-06-06 09:32:26 - Temp: 23.60000038, Hum: 65.90000153, Soil: 514, Relay: 0
2025-06-06 09:32:29 - Temp: 23.60000038, Hum: 65.80000305, Soil: 521, Relay: 0
2025-06-06 09:32:37 - Temp: 23.60000038, Hum: 65.80000305, Soil: 518, Relay: 0
2025-06-06 09:32:40 - Temp: 23.60000038, Hum: 65.80000305, Soil: 519, Relay: 0
2025-06-06 09:32:53 - Temp: 23.70000076, Hum: 65.90000153, Soil: 471, Relay: 1
2025-06-06 09:33:01 - Temp: 23.70000076, Hum: 65.90000153, Soil: 1024, Relay: 0
2025-06-06 09:33:04 - Temp: 23.70000076, Hum: 65.80000305, Soil: 447, Relay: 1
2025-06-06 09:33:10 - Temp: 23.70000076, Hum: 65.69999695, Soil: 441, Relay: 1
2025-06-06 09:33:15 - Temp: 23.70000076, Hum: 65.5, Soil: 448, Relay: 1
2025-06-06 09:33:24 - Temp: 23.70000076, Hum: 65.40000153, Soil: 462, Relay: 1
2025-06-06 09:33:49 - Temp: 23.70000076, Hum: 65.30000305, Soil: 497, Relay: 1
2025-06-06 09:33:54 - Temp: 23.70000076, Hum: 65.19999695, Soil: 502, Relay: 0
2025-06-06 09:34:07 - Temp: 23.79999924, Hum: 65.40000153, Soil: 509, Relay: 0
2025-06-06 09:34:13 - Temp: 23.79999924, Hum: 65.5, Soil: 513, Relay: 0
2025-06-06 09:34:48 - Temp: 23.79999924, Hum: 66.09999847, Soil: 522, Relay: 0
2025-06-06 09:35:14 - Temp: 23.79999924, Hum: 65.90000153, Soil: 523, Relay: 0
2025-06-06 09:35:19 - Temp: 23.89999962, Hum: 65.90000153, Soil: 523, Relay: 0
2025-06-06 09:35:26 - Temp: 23.89999962, Hum: 65.90000153, Soil: 523, Relay: 0
2025-06-06 09:37:06 - Temp: 24, Hum: 65.90000153, Soil: 721, Relay: 
2025-06-06 09:37:14 - Temp: 24, Hum: 65.69999695, Soil: 1024, Relay: 
2025-06-06 09:37:27 - Temp: 24.10000038, Hum: 65.19999695, Soil: 560, Relay: 
2025-06-06 09:37:33 - Temp: 24.10000038, Hum: 65.09999847, Soil: 903, Relay: 
2025-06-06 09:37:33 - Temp: 24.10000038, Hum: 65, Soil: 470, Relay: 1
2025-06-06 09:38:52 - Temp: 24.20000076, Hum: 64.80000305, Soil: 495, Relay: 1
2025-06-06 09:39:50 - Temp: 24.39999962, Hum: 64.5, Soil: 518, Relay: 
2025-06-06 09:39:55 - Temp: 24.39999962, Hum: 64.09999847, Soil: 434, Relay: 1
2025-06-06 09:39:58 - Temp: 24.39999962, Hum: 63.90000153, Soil: 447, Relay: 1
2025-06-06 09:44:05 - Temp: 24.70000076, Hum: 62.5, Soil: 464, Relay: 1
